munic,pe
COARI-AM,"4.112.818,72"
POJUCA-BA,"0,00"
CAIRU-BA,"635.156,44"
PRESIDENTE KENNEDY-ES,"39.998.080,05"
ARMACAO DOS BUZIOS-RJ,"5.051.975,28"
CABO FRIO-RJ,"34.434.316,79"
CAMPOS DOS GOYTACAZES-RJ,"184.503.720,28"
CARAPEBUS-RJ,"439.360,77"
CASIMIRO DE ABREU-RJ,"11.597.649,36"
MACAE-RJ,"16.528.418,91"
PARATI-RJ,"44.411,59"
QUISSAMA-RJ,"3.117.036,15"
RIO DAS OSTRAS-RJ,"41.280.120,06"
SAO JOAO DA BARRA-RJ,"31.969.717,13"
AREIA BRANCA-RN,"216.042,61"
MOSSORO-RN,"907.288,58"
CARMOPOLIS-SE,"343.186,47"
GENERAL MAYNARD-SE,"1.464,77"
JAPARATUBA-SE,"401.653,85"
MARUIM-SE,"7.897,64"
ROSARIO DO CATETE-SE,"43.345,61"
SANTO AMARO DAS BROTAS-SE,"14.412,75"
ITAPEMIRIM-ES,"23.643.661,20"
MARATAIZES-ES,"4.714.781,87"
ARRAIAL DO CABO-RJ,"7.300,17"
LINHARES-ES,"0,00"
ARACRUZ-ES,"0,00"
FUNDAO-ES,"0,00"
PIUMA-ES,"184.014,68"
SERRA-ES,"0,00"
VITORIA-ES,"0,00"
SERRA DO MEL-RN,"582,61"
RIO DE JANEIRO-RJ,"773.330,98"
NITEROI-RJ,"4.171.785,91"
MARICA-RJ,"4.738.910,38"
